idProcessoSeletivo;nome;inicioProcessoSeletivo;fimProcessoSeletivo;status;descricao;criadoPor;datacontratacao;datainiciovaga;idParticipanteRh;cargo;idVaga;titulovaga;numeroposicoes;requisitosvagas;estado;dataCriacao;idCandidato;nomeCandidato;idCriterio;nomeCriterio;pontuacao
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;10/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;1;Ana;1;comunicação;3
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;11/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;2;Bruno;1;comunicação;7
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;12/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;3;Carla;1;comunicação;1
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;13/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;4;Daniel;1;comunicação;6
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;14/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;5;Eduardo;1;comunicação;9
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;15/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;6;Fernanda;1;comunicação;4
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;16/01/2024;01/12/2023;1;Analista;1;Desenvolvedor Jr;7;Java;Concluido;01/12/2023;7;Gabriel;1;comunicação;10
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;17/01/2024;01/12/2023;1;Analista;2;Desenvolvedor Pleno;13;Java;Concluido;01/12/2023;8;Helena;1;comunicação;2
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;18/01/2024;01/12/2023;1;Analista;2;Desenvolvedor Pleno;13;Java;Concluido;01/12/2023;9;Igor;1;comunicação;5
1;Processo seletivo 1;01/12/2023;30/01/2024;concluido;Processo seletivo 1;antonio;19/01/2024;01/12/2023;1;Analista;2;Desenvolvedor Pleno;13;Java;Concluido;01/12/2023;10;Juliana;1;comunicação;8
